optimizer,learning_rate,accuracy,run
SGD,0.010,0.6575342416763306,8
SGD,0.015,0.6712328791618347,8
SGD,0.020,0.6575342416763306,8
SGD,0.030,0.6712328791618347,8
SGD,0.040,0.6575342416763306,8
SGD,0.050,0.6575342416763306,8
SGD,0.060,0.6712328791618347,8
SGD,0.070,0.6575342416763306,8
RMSprop,0.001,0.8493150472640991,8
RMSprop,0.002,0.8219178318977356,8
RMSprop,0.003,0.835616409778595,8
RMSprop,0.005,0.8630136847496033,8
RMSprop,0.010,0.8767123222351074,8
RMSprop,0.015,0.8082191944122314,8
RMSprop,0.020,0.7534246444702148,8
RMSprop,0.030,0.8219178318977356,8
RMSprop,0.040,0.7397260069847107,8
RMSprop,0.050,0.42465752363204956,8
RMSprop,0.060,0.7260273694992065,8
RMSprop,0.070,0.42465752363204956,8
Adagrad,0.001,0.5753424763679504,8
Adagrad,0.002,0.6438356041908264,8
Adagrad,0.003,0.6438356041908264,8
Adagrad,0.005,0.6712328791618347,8
Adagrad,0.010,0.6575342416763306,8
Adagrad,0.015,0.6575342416763306,8
Adagrad,0.020,0.6712328791618347,8
Adagrad,0.030,0.6849315166473389,8
Adagrad,0.040,0.6712328791618347,8
Adagrad,0.050,0.6575342416763306,8
Adagrad,0.060,0.6575342416763306,8
Adagrad,0.070,0.8630136847496033,8
Adadelta,0.001,0.42465752363204956,8
Adadelta,0.002,0.42465752363204956,8
Adadelta,0.003,0.42465752363204956,8
Adadelta,0.005,0.42465752363204956,8
Adadelta,0.010,0.4794520437717438,8
Adadelta,0.015,0.5753424763679504,8
Adadelta,0.020,0.5890411138534546,8
Adadelta,0.030,0.6164383292198181,8
Adadelta,0.040,0.6575342416763306,8
Adadelta,0.050,0.6712328791618347,8
Adadelta,0.060,0.6438356041908264,8
Adadelta,0.070,0.7260273694992065,8
AdamW,0.001,0.6712328791618347,8
AdamW,0.002,0.8904109597206116,8
AdamW,0.003,0.8767123222351074,8
AdamW,0.005,0.8904109597206116,8
AdamW,0.010,0.835616409778595,8
AdamW,0.015,0.7260273694992065,8
AdamW,0.020,0.7945205569267273,8
AdamW,0.030,0.7397260069847107,8
AdamW,0.040,0.7534246444702148,8
AdamW,0.050,0.767123281955719,8
AdamW,0.060,0.7397260069847107,8
AdamW,0.070,0.7397260069847107,8
Nadam,0.001,0.8082191944122314,8
Nadam,0.002,0.7260273694992065,8
Nadam,0.003,0.8767123222351074,8
Nadam,0.005,0.6027397513389587,8
Nadam,0.010,0.8767123222351074,8
Nadam,0.015,0.42465752363204956,8
Nadam,0.020,0.7945205569267273,8
Nadam,0.030,0.8219178318977356,8
Nadam,0.040,0.6849315166473389,8
Nadam,0.050,0.7397260069847107,8
